Order_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Order_Year,Order_Month,Order_Quarter,Shipping_Days,Profit_Margin,Revenue_per_Unit,Discount_Tier,Category_Enc,Segment_Enc,Region_Enc,Ship_Mode_Enc
CA-2020-557435,2019-01-01 00:00:00.000000000,2019-01-03 00:00:00.000000000,Standard Class,Home Office,West,Technology,Machines,2620.35,13,0.1,739.22,2019,1,1,2,0.2821,201.57,Low,2,2,3,3
CA-2019-705403,2019-01-01 03:30:23.236265385,2019-01-03 03:30:23.236265385,Standard Class,Home Office,West,Furniture,Tables,328.29,11,0.2,12.98,2019,1,1,2,0.0395,29.84,Low,0,2,3,3
CA-2021-394323,2019-01-01 07:00:46.472530771,2019-01-08 07:00:46.472530771,First Class,Corporate,West,Technology,Accessories,713.72,12,0.3,-30.8,2019,1,1,7,-0.0432,59.48,Medium,2,1,3,0
CA-2022-105243,2019-01-01 10:31:09.708796157,2019-01-03 10:31:09.708796157,Standard Class,Home Office,East,Technology,Machines,75.61,9,0.2,10.2,2019,1,1,2,0.1349,8.4,Low,2,2,1,3
CA-2020-294155,2019-01-01 14:01:32.945061543,2019-01-05 14:01:32.945061543,First Class,Home Office,South,Furniture,Chairs,115.42,5,0.1,19.52,2019,1,1,4,0.1691,23.08,Low,0,2,2,0
CA-2020-191694,2019-01-01 17:31:56.181326928,2019-01-03 17:31:56.181326928,Second Class,Corporate,West,Furniture,Tables,60.21,2,0.5,0.92,2019,1,1,2,0.0153,30.1,High,0,1,3,2
CA-2020-706770,2019-01-01 21:02:19.417592314,2019-01-08 21:02:19.417592314,Standard Class,Home Office,West,Technology,Phones,296.75,4,0.2,63.96,2019,1,1,7,0.2155,74.19,Low,2,2,3,3
CA-2020-770277,2019-01-02 00:32:42.653857700,2019-01-09 00:32:42.653857700,Standard Class,Consumer,Central,Office Supplies,Storage,26.74,3,0.0,5.83,2019,1,1,7,0.218,8.91,No Discount,1,0,0,3
CA-2021-149113,2019-01-02 04:03:05.890123086,2019-01-09 04:03:05.890123086,Same Day,Corporate,South,Technology,Machines,792.13,10,0.1,35.66,2019,1,1,7,0.045,79.21,Low,2,1,2,1
CA-2021-427360,2019-01-02 07:33:29.126388471,2019-01-06 07:33:29.126388471,Same Day,Home Office,East,Technology,Copiers,69.05,7,0.1,12.39,2019,1,1,4,0.1794,9.86,Low,2,2,1,1
CA-2022-962997,2019-01-02 11:03:52.362653857,2019-01-07 11:03:52.362653857,Same Day,Home Office,West,Technology,Accessories,836.74,10,0.2,52.07,2019,1,1,5,0.0622,83.67,Low,2,2,3,1
CA-2019-566252,2019-01-02 14:34:15.598919243,2019-01-07 14:34:15.598919243,First Class,Consumer,East,Technology,Copiers,28.07,10,0.0,5.22,2019,1,1,5,0.186,2.81,No Discount,2,0,1,0
CA-2019-196187,2019-01-02 18:04:38.835184629,2019-01-06 18:04:38.835184629,Standard Class,Corporate,South,Furniture,Chairs,90.27,10,0.1,25.98,2019,1,1,4,0.2878,9.03,Low,0,1,2,3
CA-2020-441909,2019-01-02 21:35:02.071450015,2019-01-09 21:35:02.071450015,Standard Class,Consumer,South,Technology,Copiers,942.03,8,0.0,203.93,2019,1,1,7,0.2165,117.75,No Discount,2,0,2,3
CA-2022-269726,2019-01-03 01:05:25.307715400,2019-01-06 01:05:25.307715400,Same Day,Consumer,South,Office Supplies,Binders,108.62,13,0.0,10.31,2019,1,1,3,0.0949,8.36,No Discount,1,0,2,1
CA-2020-652357,2019-01-03 04:35:48.543980786,2019-01-08 04:35:48.543980786,First Class,Home Office,Central,Furniture,Chairs,258.75,5,0.0,47.34,2019,1,1,5,0.183,51.75,No Discount,0,2,0,0
CA-2019-526456,2019-01-03 08:06:11.780246172,2019-01-06 08:06:11.780246172,Same Day,Home Office,West,Office Supplies,Art,10.0,2,0.2,0.19,2019,1,1,3,0.019,5.0,Low,1,2,3,1
CA-2019-909948,2019-01-03 11:36:35.016511558,2019-01-10 11:36:35.016511558,Standard Class,Home Office,South,Office Supplies,Storage,75.31,12,0.0,6.83,2019,1,1,7,0.0907,6.28,No Discount,1,2,2,3
CA-2019-301773,2019-01-03 15:06:58.252776943,2019-01-04 15:06:58.252776943,First Class,Consumer,East,Office Supplies,Storage,41.77,9,0.1,8.92,2019,1,1,1,0.2136,4.64,Low,1,0,1,0
CA-2022-222588,2019-01-03 18:37:21.489042329,2019-01-07 18:37:21.489042329,Same Day,Corporate,Central,Office Supplies,Paper,30.45,14,0.1,5.74,2019,1,1,4,0.1885,2.17,Low,1,1,0,1
CA-2021-513928,2019-01-03 22:07:44.725307715,2019-01-09 22:07:44.725307715,Standard Class,Home Office,South,Furniture,Tables,409.12,1,0.1,61.1,2019,1,1,6,0.1493,409.12,Low,0,2,2,3
CA-2019-706473,2019-01-04 01:38:07.961573101,2019-01-11 01:38:07.961573101,Same Day,Consumer,South,Furniture,Bookcases,229.52,5,0.1,29.14,2019,1,1,7,0.127,45.9,Low,0,0,2,1
CA-2020-688982,2019-01-04 05:08:31.197838486,2019-01-05 05:08:31.197838486,Second Class,Home Office,East,Office Supplies,Storage,10.0,12,0.0,1.47,2019,1,1,1,0.147,0.83,No Discount,1,2,1,2
CA-2020-823300,2019-01-04 08:38:54.434103872,2019-01-08 08:38:54.434103872,First Class,Consumer,Central,Office Supplies,Labels,198.11,12,0.0,15.14,2019,1,1,4,0.0764,16.51,No Discount,1,0,0,0
CA-2021-206634,2019-01-04 12:09:17.670369258,2019-01-05 12:09:17.670369258,Second Class,Corporate,East,Furniture,Tables,602.92,3,0.3,-6.16,2019,1,1,1,-0.0102,200.97,Medium,0,1,1,2
